"","HG00096","HG00103","HG00106","HG00111","HG00116","HG00126","HG00132","HG00149","HG00150","HG00176"
"1",0.576431096772676,0.329318531994675,0.438000752562467,0.610595057458724,0.818143615823545,0.533141283165113,0.654384841373322,0.507989463207253,0.519059888336333,0.554112976256235
"2",0.554820249251631,0.650479129672163,0.605766888656688,0.541191363126006,0.438000752562467,0.569184507585264,0.525376785213236,0.57511124196839,0.574654202751858,0.556618451727833
"3",0.518988682384577,0.564348039173733,0.432912991482394,0.520547709310651,0.475230420986204,0.407917996535454,0.629078012959001,0.258865528418841,0.411720932441124,0.232763669487991
"4",0.481011317615423,0.435651960826268,0.567087008517606,0.479452290689349,0.524769579013795,0.592082003464546,0.370921987040999,0.741134471581158,0.588279067558876,0.767236330512008
"5",0.583036720804025,0.561369905786731,0.541191363126006,0.588118993763909,0.610595057458724,0.547113725413685,0.623287609765904,0.497484712187347,0.546276384985295,0.494163673871627
"6",0.630698033916443,0.622524344227409,0.609131853069417,0.633023667456619,0.641659464351649,0.610929378413708,0.652404355538116,0.582847948999656,0.610685198864949,0.580137621452897
"7",0.500255368587909,0.473322982472679,0.441610759711232,0.507136979651486,0.535706488473137,0.448256001562967,0.559371835233421,0.378790135956236,0.447326547795936,0.37338189173191
"8",0.314691762035053,0.339903255996503,0.435164264702503,0.304389556631201,0.278338916893565,0.433157629272123,0.207991784737984,0.611497912848109,0.433315464055095,0.632413944829657
"9",0.311961621562185,0.325165653462633,0.361538080331127,0.307286574119892,0.29339078358438,0.35961232151707,0.263576345452531,0.431566966566829,0.359842684049911,0.440066393785433
"10",0.467572132610141,0.476793041135055,0.515880979743169,0.463233669253304,0.453000285938423,0.515724068158018,0.415675866258347,0.583568628497236,0.515693544816772,0.592069620380408
"11",0.819809187303917,0.849280646036206,0.747548992551063,0.821143782503995,0.787899235370744,0.723852303534485,0.888204769354997,0.532520939766586,0.727575692459592,0.489865777404035
"12",0.791783542932973,0.634951758117755,0.813667276437596,0.802855394641839,0.900542873806039,0.859412012660002,0.719073636870333,0.932024686000376,0.853206753812702,0.947701404353176
"13",0.802084624561509,0.800830816951962,0.855111673968811,0.797941880868281,0.798204403599439,0.8590327668025,0.7242878150131,0.916908674753651,0.85840130417832,0.923740233865429
"14",0.754888265070646,0.596906008256609,0.754112209400901,0.76825742779477,0.875318299908333,0.806179824646811,0.712509267834217,0.877888147886846,0.798964276325967,0.900372398914733
"15",0.969627464603314,0.989302191281606,0.966156003710596,0.966585497707267,0.906952630568333,0.947845129663487,0.980433033850365,0.872229005897885,0.951088786048276,0.826359999535629
"16",0.0141348288538695,0.0130096726490692,0.0125482184590824,0.0143735292187905,0.0156784505432167,0.0128720228063107,0.0157977043656022,0.0113754106042747,0.0128248092416623,0.0113446091406312
"17",0.013481092349531,0.00587202966203998,0.0187188700562596,0.0143074985520199,0.032961336651635,0.0270028884697111,0.00717568404256205,0.0810251321261609,0.0255596776568549,0.110587893696473
"18",0.0219946862183777,0.0113754188816775,0.0171575815106018,0.0239017625359743,0.0465899242226853,0.0221349599322413,0.0239532973237226,0.0246615707005766,0.0213157304788783,0.0285153755847713
"19",0.145130187742696,0.134831791882061,0.104754453341602,0.14952543342867,0.161885176925646,0.105432058924333,0.202232734937561,0.065647815967932,0.105369718043409,0.0618883521142109
"20",0.121263918853543,0.0900458614013258,0.151670997296051,0.122863533162009,0.163926478678343,0.173183202276317,0.0848352072372978,0.287659880886038,0.169779908762177,0.323026642589886
"21",0.243632642817097,0.57512633885299,0.379675210385514,0.210447081775608,0.0570993361524079,0.26116908456519,0.192505588777008,0.245693864847682,0.27716671780703,0.195088459567804
"22",0.345857106518776,0.0386318182251278,0.146635101582345,0.425703763569674,0.913737748750091,0.315683533954022,0.467645561324476,0.358348895551094,0.284949386401778,0.488710990980264
"23",0.212903601375961,0.832125465483329,0.447921052985623,0.157521992470714,0.00923631272014415,0.208071916305767,0.156369171136108,0.139656520892522,0.236985678925378,0.0783020759954612
"24",0.813942230012426,0.632883194044393,0.553273041081774,0.840061389677575,0.933044241970397,0.62371981897515,0.933446697190696,0.317813315763718,0.61377544343806,0.315129448459767
"25",0.134596094033192,0.324372917231381,0.370738385279999,0.112210164155315,0.0374689538419604,0.289710549586965,0.0453572298491423,0.582637636943641,0.300838170411912,0.574787392822244
"26",0.114890375783701,0.317825261866249,0.157535563039127,0.100141980080168,0.0289938717925315,0.101458888963714,0.111757356058376,0.0706557094139388,0.108502947939361,0.0526712119301934
"27",0.460429134095932,0.261989681084516,0.415172897613957,0.485577011132478,0.69931301293272,0.502162937551381,0.446821990333557,0.594870749558924,0.489089289552973,0.649068663574537
"28",0.750196234596998,0.452845849356325,0.639890865208267,0.780057654972471,0.93057122065321,0.744912150688107,0.787635991279184,0.773059529840188,0.730663078737609,0.818087740409872
"29",0.539570865904068,0.738010318915484,0.584827102386043,0.514422988867522,0.30068698706728,0.497837062448619,0.553178009666443,0.405129250441076,0.510910710447027,0.350931336425463
"30",0.554820249251631,0.650479129672163,0.605766888656688,0.541191363126006,0.438000752562467,0.569184507585264,0.525376785213236,0.57511124196839,0.574654202751858,0.556618451727833
"31",0.368790122762459,0.235058398294906,0.283455164453829,0.390462506839139,0.554694322702179,0.334137417073714,0.429238438846501,0.307152442745512,0.326370019962828,0.330491140817739
"32",0.557789355944816,0.640254631168121,0.518345929721433,0.55205647261669,0.464801699762828,0.479479479654208,0.626847493863878,0.356456528967372,0.485329097100828,0.323628102465736
"33",0.618371273152981,0.749670029641004,0.699780741592832,0.597560042648518,0.440230830721263,0.649806663673536,0.562627576271763,0.673120047604833,0.657432544993651,0.649617768438729
"34",0.534547280990966,0.661068579247365,0.547752287105563,0.520384665061403,0.386514092291837,0.493757400860382,0.559226577386781,0.415241829884116,0.501835065258501,0.378548771547542
"35",0.465452719009035,0.338931420752635,0.452247712894437,0.479615334938597,0.613485907708163,0.506242599139618,0.440773422613219,0.584758170115884,0.498164934741499,0.621451228452458
"36",0.692060197912084,0.802306950572204,0.739636244016746,0.675669216683026,0.531059353398749,0.693343721220334,0.672658824516039,0.675963288506751,0.700495645939084,0.647114088833866
"37",0.688993255466256,0.667787215815072,0.579753235879044,0.698207801316189,0.720412635647895,0.580800202747779,0.787382927784072,0.415535077414119,0.580772606489557,0.39532920660182
"38",0.378616287002511,0.440568294760148,0.390579042303124,0.371751069410987,0.312501413894658,0.366353716010777,0.383292022236846,0.340095140269081,0.369922325592673,0.324934928394013
"39",0.621383712997489,0.559431705239852,0.609420957696876,0.628248930589013,0.687498586105342,0.633646283989223,0.616707977763154,0.659904859730919,0.630077674407327,0.675065071605987
"40",0.665738483022177,0.787647840489704,0.806513802062112,0.639746318155873,0.481132727423871,0.772930172766892,0.507606876079135,0.870977498607066,0.778058440080074,0.869072059631907
