"","intron_motif","startID","endID","maxCount","quantileValueN","passedExpression","passed","maxDJaccard","passedVariability","b_jaccard","rho_jaccard","hgnc_symbol","annotatedJunction"
"47","GT-AG",35,697,1,91.7,FALSE,FALSE,0.0107142857142857,FALSE,-6.10510047011572,0.000411459454784674,"AP000295.1;IFNAR2","end"
"48","GT-AG",36,698,1,88.25,FALSE,FALSE,0.00947368421052631,FALSE,-5.92678216667091,0.00034530398675378,"AP000295.1;IFNAR2","start"
"49","GT-AG",36,699,34,96.2,TRUE,TRUE,0.0772959608956473,TRUE,-1.1590777332189,0.000145918363665044,"AP000295.1;IFNAR2","start"
"50","GT-AG",36,697,60,125.35,TRUE,TRUE,0.14717557451695,TRUE,-0.288480093857831,0.00907769038823258,"AP000295.1;IFNAR2","both"
"51","GT-AG",36,700,2,225.3,FALSE,FALSE,0.00790708614241488,FALSE,-5.36652835847316,3.88963311610686e-05,"AP000295.1;IFNAR2","end"
"52","GT-AG",37,699,1,42.85,FALSE,FALSE,0.0566666666666667,TRUE,-4.9029400893728,0.000758814755695894,"AP000295.1;IFNAR2","none"
"53","GT-AG",37,697,2,91.7,FALSE,FALSE,0.0222951289799116,FALSE,-5.32234470991266,0.000247429259487929,"AP000295.1;IFNAR2","end"
"54","GT-AG",37,700,1,159.25,FALSE,FALSE,0.0076271186440678,FALSE,-6.90392449767493,0.000699803191715797,"AP000295.1;IFNAR2","end"
"55","GT-AG",38,699,1,41.95,FALSE,FALSE,0.0321428571428571,FALSE,-5.12135719566528,0.00186119037373938,"AP000295.1;IFNAR2","none"
"56","GT-AG",39,699,1,41.95,FALSE,FALSE,0.09,TRUE,-5.11455467947824,0.0330611661703515,"AP000295.1;IFNAR2","none"
"57","GT-AG",40,701,119,120.6,TRUE,TRUE,0.0910049161999247,TRUE,2.71615611390905,0.0102046633041176,"AP000295.1;IFNAR2","both"
"58","GT-AG",40,702,1,117.5,FALSE,FALSE,0.00849056603773585,FALSE,-6.67859734464674,0.000455398106647027,"AP000295.1;IFNAR2","start"
"59","GT-AG",40,700,1,274.4,FALSE,FALSE,0.00352941176470588,FALSE,-7.48974452024263,0.00016940186785378,"AP000295.1;IFNAR2","end"
"60","GT-AG",40,703,1,276.85,FALSE,FALSE,0.0037037037037037,FALSE,-7.5532752392653,0.000201273916440619,"AP000295.1;IFNAR2","end"
"61","GT-AG",41,700,165,160.9,TRUE,TRUE,0.0650260205303401,TRUE,2.72520121852011,0.00789378976437596,"AP000295.1;IFNAR2","both"
"62","GT-AG",42,704,1,163.75,FALSE,FALSE,0.00668260473588342,FALSE,-6.7436532643489,0.000121146886473745,"AP000295.1;IFNAR2","start"
"63","GT-AG",42,703,166,173.75,TRUE,TRUE,0.0735879399705202,TRUE,2.3666002130746,0.0130823007236988,"AP000295.1;IFNAR2","both"
"64","GT-AG",42,705,1,163.75,FALSE,FALSE,0.00625,FALSE,-6.9842651646845,0.000303515312304038,"AP000295.1;IFNAR2","start"
"65","GT-AG",43,703,11,166.55,FALSE,FALSE,0.0443431072626465,FALSE,-3.3350259255892,0.00648393690707707,"AP000295.1;IFNAR2","end"
"66","GT-AG",44,706,142,145.05,TRUE,FALSE,0.0472218350798234,FALSE,3.18332089406355,9.97210813148968e-05,"AP000295.1;IFNAR2","both"
"67","GT-AG",45,707,2,219.6,FALSE,FALSE,0.00782780411125968,FALSE,-5.64369361321558,7.38125005452388e-05,"AP000295.1;IFNAR2","start"
"68","GT-AG",45,708,222,224.7,TRUE,FALSE,0.040685918862754,FALSE,2.95165349925781,5.35739881335335e-05,"AP000295.1;IFNAR2","both"
"69","GT-AG",45,709,1,219.6,FALSE,FALSE,0.0056836143308746,FALSE,-7.04107845087306,9.54642542892726e-05,"AP000295.1;IFNAR2","start"
"70","GT-AG",45,710,1,314.4,FALSE,FALSE,0.00290322580645161,FALSE,-7.57100248603272,0.00012910824474764,"AP000295.1;IFNAR2","start"
"71","GT-AG",46,708,4,220.8,FALSE,FALSE,0.0126586154241964,FALSE,-5.75610831798051,0.00333201033644398,"AP000295.1;IFNAR2","end"
"72","GT-AG",47,711,1,205,FALSE,FALSE,0.00542168674698795,FALSE,-7.03023263559023,0.000287204454341814,"AP000295.1;IFNAR2","start"
"73","GT-AG",47,712,208,216.4,TRUE,TRUE,0.0855596481503904,TRUE,1.43274692599744,0.000139970734847149,"AP000295.1;IFNAR2","both"
"74","GT-AG",47,713,7,277.35,FALSE,FALSE,0.0190655765153223,FALSE,-4.80570643445337,0.000103170030384485,"AP000295.1;IFNAR2","start"
"75","GT-AG",47,710,14,277.4,FALSE,FALSE,0.0470903077981979,FALSE,-3.51692632473367,0.00350230997182265,"AP000295.1;IFNAR2","start"
"76","GT-AG",47,714,3,205,FALSE,FALSE,0.0160412305790963,FALSE,-5.42206965515533,0.00469123451163644,"AP000295.1;IFNAR2","start"
"77","GT-AG",47,715,3,263.5,FALSE,FALSE,0.0162399197124745,FALSE,-6.25066137875636,0.00142646674127504,"AP000295.1;IFNAR2;IL10RB","start"
"78","GT-AG",47,716,2,321.8,FALSE,FALSE,0.00880593000974888,FALSE,-7.18921815435443,0.00179405534517923,"AP000295.1;IFNAR2;IL10RB","start"
"79","GT-AG",48,713,71,153.5,TRUE,TRUE,0.203794172580641,TRUE,-0.179574830273387,0.0267414527250663,"AP000295.1;IFNAR2","both"
"80","GT-AG",48,717,2,141.85,FALSE,FALSE,0.02,FALSE,-6.62830716421057,0.0117021084702058,"AP000295.1;IFNAR2","start"
