"","x"
"1",0.500000008334415
"2",0.500000040097874
"3",0.98799231020692
"4",0.9879923102926
"5",0.500000076326028
"6",0.499999991665977
"7",0.00615360878273035
"8",0.988917350403547
"9",0.00339203862462654
"10",0.00933024147272504
"11",0.977806119511708
"12",0.981280209332052
"13",0.499999873396515
"14",0.982607972777295
"15",0.00200681089861698
"16",0.00630954168276685
"17",0.48679760325941
"18",0.00154267868592415
"19",0.135405622635826
"20",0.403960836791621
"21",0.190841328159358
"22",0.176322712318873
"23",0.00126839536413241
"24",0.0195542791818213
"25",0.0872839436640187
"26",0.0381079974760922
"27",0.499999961226043
"28",0.986302099993239
"29",0.499999968985046
"30",0.500000040097874
"31",0.0383744395098674
"32",0.500000150938037
"33",0.0145420993568365
"34",0.499999947750721
"35",0.500000099977659
"36",0.972135486038972
"37",0.499999999996317
"38",0.00727146969479073
"39",0.00727146743308079
"40",0.964776315192693
"41",0.965063526272517
"42",0.499999991665523
"43",0.499999991665491
"44",0.500000040097874
"45",0.499999991666228
"46",0.499999965255526
"47",0.000411459454784674
"48",0.00034530398675378
"49",0.000145918363665044
"50",0.00907769038823258
"51",3.88963311610686e-05
"52",0.000758814755695894
"53",0.000247429259487929
"54",0.000699803191715797
"55",0.00186119037373938
"56",0.0330611661703515
"57",0.0102046633041176
"58",0.000455398106647027
"59",0.00016940186785378
"60",0.000201273916440619
"61",0.00789378976437596
"62",0.000121146886473745
"63",0.0130823007236988
"64",0.000303515312304038
"65",0.00648393690707707
"66",9.97210813148968e-05
"67",7.38125005452388e-05
"68",5.35739881335335e-05
"69",9.54642542892726e-05
"70",0.00012910824474764
"71",0.00333201033644398
"72",0.000287204454341814
"73",0.000139970734847149
"74",0.000103170030384485
"75",0.00350230997182265
"76",0.00469123451163644
"77",0.00142646674127504
"78",0.00179405534517923
"79",0.0267414527250663
"80",0.0117021084702058
"81",0.0210846919031517
"82",0.000213035664783143
"83",0.00752500489977869
"84",0.00164031632494077
"85",0.0124436645117376
"86",0.971795944975521
