spliceSiteID,type,HG00096,HG00103,HG00106,HG00111,HG00116,HG00126,HG00132,HG00149,HG00150,HG00176
1071,Donor,26,9,14,2,2,2,6,19,12,3
401,Acceptor,1,2,0,1,0,2,3,2,0,2
1077,Donor,2,3,2,1,4,1,5,1,4,1
402,Acceptor,4,3,1,1,2,3,2,4,0,3
1078,Donor,0,0,1,0,0,0,2,2,0,2
403,Acceptor,1,3,0,2,0,2,1,1,0,1
1079,Donor,1,3,4,2,3,3,4,1,3,0
405,Acceptor,0,0,2,1,0,1,2,4,1,2
1081,Donor,2,1,0,1,3,0,1,0,0,1
409,Acceptor,16,33,20,14,12,15,17,11,13,17
1086,Donor,1,7,1,0,0,1,0,3,0,1
410,Acceptor,4,7,4,7,6,3,8,9,2,6
1091,Donor,10,12,11,7,11,7,23,4,11,11
414,Acceptor,8,6,6,10,5,3,7,4,5,4
1092,Donor,2,4,2,0,1,1,3,4,1,0
417,Acceptor,21,5,1,5,3,10,7,9,4,3
1099,Donor,10,22,12,9,16,8,4,11,11,22
427,Acceptor,15,16,11,22,5,19,11,7,18,9
1106,Donor,4,1,2,7,0,4,3,2,2,3
428,Acceptor,4,5,7,15,4,2,9,0,7,7
1109,Donor,0,4,1,3,3,1,1,0,1,2
429,Acceptor,8,8,14,16,3,17,7,7,9,8
1110,Donor,1,1,0,0,0,2,0,1,1,1
430,Acceptor,1,2,2,0,0,0,1,2,3,0
1111,Donor,12,6,4,12,5,4,7,0,5,2
431,Acceptor,5,5,4,7,1,2,0,1,1,3
1112,Donor,2,4,2,3,2,2,0,1,0,0
432,Acceptor,6,8,6,11,5,10,3,2,5,11
1114,Donor,5,9,3,11,3,4,2,6,2,8
434,Acceptor,4,7,17,14,7,16,7,3,8,7
1116,Donor,0,1,1,0,0,1,0,4,0,1
435,Acceptor,6,2,9,8,0,13,3,4,4,3
1117,Donor,2,1,0,0,1,1,0,2,0,0
436,Acceptor,9,8,11,5,3,8,3,4,12,12
1118,Donor,12,7,13,7,9,11,6,7,8,8
437,Acceptor,3,2,0,1,9,0,0,4,1,3
1119,Donor,1,1,2,0,1,0,0,4,1,1
438,Acceptor,1,0,0,1,0,1,0,0,0,0
1120,Donor,1,4,0,1,1,4,0,4,4,0
439,Acceptor,11,3,10,9,14,10,10,4,10,7
1113,Donor,5,1,4,1,0,3,4,4,2,4
441,Acceptor,3,2,2,3,6,3,4,3,3,2
1122,Donor,4,3,3,6,7,11,6,5,4,7
442,Acceptor,8,2,5,16,6,6,3,3,4,3
1123,Donor,2,0,0,0,0,1,2,1,1,1
443,Acceptor,3,4,2,3,6,3,2,1,0,1
1124,Donor,4,5,6,9,4,1,8,4,3,5
444,Acceptor,0,1,2,1,1,3,2,0,1,0
1125,Donor,3,4,2,4,2,0,2,4,1,3
445,Acceptor,2,2,0,1,2,1,0,2,1,1
1126,Donor,3,0,2,3,3,5,1,1,5,1
450,Acceptor,0,0,0,0,0,1,0,3,1,1
1130,Donor,0,0,0,0,0,1,0,1,2,2
451,Acceptor,1,2,0,0,1,0,0,0,1,1
1131,Donor,1,3,1,1,0,0,0,1,0,0
452,Acceptor,1,3,0,3,1,3,1,0,4,0
1133,Donor,0,2,2,1,0,2,1,0,2,0
453,Acceptor,1,1,0,2,2,3,3,0,1,0
1134,Donor,2,1,1,3,0,6,0,3,2,3
454,Acceptor,1,1,0,0,1,3,1,1,0,0
1135,Donor,1,0,1,1,2,3,1,1,0,0
455,Acceptor,4,2,4,1,3,4,6,3,3,2
1136,Donor,5,4,1,1,8,6,1,5,0,0
457,Acceptor,10,1,2,3,7,7,14,9,1,2
1137,Donor,0,0,0,2,3,1,1,1,2,3
460,Acceptor,1,0,1,3,1,2,6,0,2,1
1138,Donor,0,0,0,0,0,2,0,0,1,1
461,Acceptor,2,2,2,1,1,0,1,4,0,2
1139,Donor,0,0,0,1,0,1,1,0,0,0
462,Acceptor,4,0,0,1,4,2,3,3,1,2
1140,Donor,1,0,0,0,1,0,0,1,0,0
463,Acceptor,0,1,0,1,0,4,2,2,0,0
1141,Donor,1,0,0,1,1,1,0,0,0,0
464,Acceptor,0,1,1,0,0,1,0,2,0,1
1142,Donor,0,0,0,0,0,1,1,1,1,0
465,Acceptor,3,0,0,0,1,1,5,2,2,1
1143,Donor,2,0,0,3,0,2,0,0,0,1
467,Acceptor,1,0,0,0,1,0,1,0,0,0
1144,Donor,1,1,0,0,0,0,2,3,0,1
468,Acceptor,1,2,0,0,0,0,2,1,0,0
1145,Donor,1,0,1,0,0,6,0,2,0,0
470,Acceptor,1,0,0,1,5,0,2,0,0,0
1147,Donor,2,0,1,2,4,2,5,4,2,2
471,Acceptor,0,1,1,0,3,0,0,0,1,0
1148,Donor,0,0,0,0,0,1,0,1,0,0
472,Acceptor,0,0,0,0,2,1,0,0,0,0
1149,Donor,0,1,0,0,0,1,0,0,0,0
473,Acceptor,3,0,0,1,2,2,0,4,1,0
1151,Donor,2,1,0,0,0,1,0,0,0,0
475,Acceptor,0,0,0,0,0,1,0,0,0,0
1152,Donor,1,0,1,1,3,1,0,0,0,1
476,Acceptor,1,0,1,0,2,4,1,0,0,2
1153,Donor,1,0,0,0,1,1,0,1,0,0
477,Acceptor,1,1,0,0,1,2,0,1,0,0
1154,Donor,0,0,1,0,2,0,2,2,1,0
479,Acceptor,0,0,0,0,0,0,0,1,0,1
1155,Donor,1,0,0,0,0,0,0,1,0,0
480,Acceptor,1,1,0,3,1,3,4,2,2,1
1156,Donor,0,0,0,0,0,0,0,0,0,0
481,Acceptor,0,1,0,0,1,1,0,0,0,0
1157,Donor,1,0,0,0,2,0,3,1,2,2
482,Acceptor,3,1,0,0,0,1,1,3,1,0
1158,Donor,0,0,0,0,1,0,2,2,0,0
483,Acceptor,0,0,0,0,2,2,0,0,0,0
1159,Donor,1,2,0,0,0,0,0,1,0,0
484,Acceptor,0,0,0,0,1,1,1,1,0,0
1160,Donor,0,0,0,0,1,0,0,1,0,0
486,Acceptor,0,1,0,2,0,2,2,1,0,0
1161,Donor,1,0,0,0,0,0,0,0,0,0
487,Acceptor,3,1,2,0,4,4,4,5,2,0
1162,Donor,0,1,0,0,1,0,0,3,0,1
489,Acceptor,0,0,1,0,2,1,1,0,1,1
1163,Donor,0,2,0,1,0,1,0,0,0,1
490,Acceptor,0,0,1,0,2,3,1,0,1,3
1164,Donor,0,0,0,0,6,0,2,1,0,0
492,Acceptor,0,0,0,0,0,2,0,1,1,0
1165,Donor,0,0,0,1,1,1,1,1,0,0
494,Acceptor,0,0,0,2,0,0,0,0,0,0
1166,Donor,0,0,0,0,0,1,1,0,0,0
495,Acceptor,0,0,1,1,0,0,0,1,0,0
1167,Donor,0,0,0,1,2,1,0,0,0,0
496,Acceptor,1,0,1,1,1,0,1,1,0,0
1168,Donor,0,0,0,1,0,2,0,0,0,0
497,Acceptor,0,0,0,0,0,0,0,1,0,0
1169,Donor,0,0,0,0,0,0,0,0,0,0
498,Acceptor,1,0,0,0,0,0,0,1,0,0
1170,Donor,0,0,0,0,0,0,0,2,0,0
503,Acceptor,0,0,0,0,0,0,0,0,0,0
1175,Donor,0,0,0,0,0,0,0,0,0,0
504,Acceptor,0,0,0,0,0,0,0,0,0,0
1177,Donor,23,18,11,18,56,10,13,23,8,15
516,Acceptor,5,0,2,1,0,1,5,1,1,0
1186,Donor,1,6,2,0,0,0,0,1,0,2
527,Acceptor,1,1,2,0,0,3,1,1,0,0
1192,Donor,1,0,0,2,1,0,2,0,0,1
538,Acceptor,10,14,21,11,10,9,8,7,9,2
1208,Donor,5,6,8,3,6,3,5,2,3,7
541,Acceptor,1,2,0,1,0,1,1,0,1,1
1209,Donor,8,14,7,12,3,4,8,2,7,6
543,Acceptor,6,4,0,1,0,0,2,0,4,1
1210,Donor,0,7,2,0,0,0,1,1,0,0
546,Acceptor,8,18,10,20,14,14,29,7,13,15
1220,Donor,2,4,3,0,0,4,7,5,3,3
548,Acceptor,1,5,0,3,1,4,3,5,2,2
1224,Donor,0,3,0,0,0,2,0,0,0,0
551,Acceptor,2,1,5,0,2,2,0,3,0,0
1226,Donor,1,1,1,2,0,0,0,0,2,0
553,Acceptor,2,3,1,2,1,3,0,3,3,1
1228,Donor,1,2,2,2,2,1,1,1,0,0
557,Acceptor,1,3,1,3,0,2,3,3,3,1
1231,Donor,3,6,0,2,1,1,1,4,1,2
558,Acceptor,7,3,3,3,4,8,6,9,4,4
1232,Donor,1,0,1,2,0,3,2,5,1,1
561,Acceptor,5,0,1,0,1,1,0,2,1,1
1233,Donor,2,1,1,1,1,2,1,3,1,1
563,Acceptor,1,1,2,3,8,1,8,4,1,5
1234,Donor,2,2,3,4,8,6,9,4,5,4
569,Acceptor,10,28,7,13,7,7,11,14,21,4
1242,Donor,13,15,19,14,20,13,13,12,14,9
571,Acceptor,47,37,35,68,45,33,54,24,55,39
1243,Donor,5,25,3,5,4,7,7,7,4,2
572,Acceptor,27,39,37,96,52,18,89,24,69,20
1244,Donor,20,42,11,18,9,17,7,15,13,10
575,Acceptor,68,102,59,112,72,132,97,54,97,79
1247,Donor,24,35,14,29,25,30,22,44,24,14
576,Acceptor,31,57,20,34,19,26,26,38,36,20
1248,Donor,2,25,5,10,6,11,10,13,3,6
578,Acceptor,35,48,23,65,27,32,41,33,40,15
1249,Donor,8,13,10,6,5,13,8,13,8,8
580,Acceptor,17,16,12,26,7,13,11,18,16,18
1246,Donor,4,13,2,1,2,5,6,7,4,2
581,Acceptor,67,50,74,158,107,74,137,40,72,40
1256,Donor,1,4,3,2,9,10,4,7,4,1
605,Acceptor,5,5,3,4,4,1,5,2,1,1
1277,Donor,3,1,4,6,0,1,0,6,0,0
612,Acceptor,3,0,3,0,1,0,0,3,3,1
1282,Donor,0,0,0,0,1,4,3,2,3,3
614,Acceptor,3,3,0,0,1,3,0,0,3,3
1285,Donor,2,3,2,1,0,5,2,3,3,1
617,Acceptor,0,0,1,0,1,1,2,3,2,1
1287,Donor,5,0,1,3,1,1,7,1,2,1
